Source,Main Measure,Detailed Measure,Region,Age,Race,Units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LUV-it,Population,Total Population,King County,NA,NA,Thousands,2189.962,2229.293,2268.624,2294.3964,2320.1688,2345.9412,2371.7136,2397.486,2423.2702,2449.0544,2474.8386,2500.6228,2526.407,2552.064,2577.721,2603.378,2629.035,2654.692,2680.2694,2705.8468,2731.4242,2757.0016,2782.579,2808.27075,2833.9625,2859.65425,2885.346,2910.911333,2936.476667,2962.042,2987.607333,3013.172667,3038.738
LUV-it,Population,Total Population,Kitsap County,NA,NA,Thousands,267.104,272.4,277.696,280.6888,283.6816,286.6744,289.6672,292.66,295.6614,298.6628,301.6642,304.6656,307.667,310.6422,313.6174,316.5926,319.5678,322.543,325.4624,328.3818,331.3012,334.2206,337.14,340.1215,343.103,346.0845,349.066,352.003,354.94,357.877,360.814,363.751,366.688
LUV-it,Population,Total Population,Pierce County,NA,NA,Thousands,872.45,895.9375,919.425,930.9784,942.5318,954.0852,965.6386,977.192,988.7612,1000.3304,1011.8996,1023.4688,1035.038,1046.5514,1058.0648,1069.5782,1081.0916,1092.605,1104.0706,1115.5362,1127.0018,1138.4674,1149.933,1161.45675,1172.9805,1184.50425,1196.028,1207.492,1218.956,1230.42,1241.884,1253.348,1264.812
LUV-it,Population,Total Population,Snohomish County,NA,NA,Thousands,804.957,817.3815,829.806,842.6708,855.5356,868.4004,881.2652,894.13,906.9824,919.8348,932.6872,945.5396,958.392,971.2472,984.1024,996.9576,1009.8128,1022.668,1035.5264,1048.3848,1061.2432,1074.1016,1086.96,1099.82975,1112.6995,1125.56925,1138.439,1151.24,1164.041,1176.842,1189.643,1202.444,1215.245
LUV-it,Population,Total Population,Region,NA,NA,Thousands,4134.473,4215.012,4295.551,4348.7344,4401.9178,4455.1012,4508.2846,4561.468,4614.6752,4667.8824,4721.0896,4774.2968,4827.504,4880.5048,4933.5056,4986.5064,5039.5072,5092.508,5145.3288,5198.1496,5250.9704,5303.7912,5356.612,5409.67875,5462.7455,5515.81225,5568.879,5621.646333,5674.413667,5727.181,5779.948333,5832.715667,5885.483
LUV-it,Employment,All Sectors w Military,Region,NA,NA,Thousands,2277.775,2317.8185,2357.862,2393.1928,2428.5236,2463.8544,2499.1852,2534.516,2569.8466,2605.1772,2640.5078,2675.8384,2711.169,2746.4994,2781.8298,2817.1602,2852.4906,2887.821,2923.152,2958.483,2993.814,3029.145,3064.476,3099.80725,3135.1385,3170.46975,3205.801,3241.131333,3276.461667,3311.792,3347.122333,3382.452667,3417.783
LUV-it,Employment,All Sectors w Military,King County,NA,NA,Thousands,1492.07,1517.362,1542.654,1563.0892,1583.5244,1603.9596,1624.3948,1644.83,1665.2654,1685.7008,1706.1362,1726.5716,1747.007,1767.4426,1787.8782,1808.3138,1828.7494,1849.185,1869.6208,1890.0566,1910.4924,1930.9282,1951.364,1971.7985,1992.233,2012.6675,2033.102,2053.5375,2073.973,2094.4085,2114.844,2135.2795,2155.715
LUV-it,Employment,All Sectors w Military,Kitsap County,NA,NA,Thousands,102.994,106.6255,110.257,112.1742,114.0914,116.0086,117.9258,119.843,121.7608,123.6786,125.5964,127.5142,129.432,131.3504,133.2688,135.1872,137.1056,139.024,140.9412,142.8584,144.7756,146.6928,148.61,150.52775,152.4455,154.36325,156.281,158.1983333,160.1156667,162.033,163.9503333,165.8676667,167.785
LUV-it,Employment,All Sectors w Military,Pierce County,NA,NA,Thousands,367.911,373.006,378.101,383.9918,389.8826,395.7734,401.6642,407.555,413.4458,419.3366,425.2274,431.1182,437.009,442.8996,448.7902,454.6808,460.5714,466.462,472.3524,478.2428,484.1332,490.0236,495.914,501.8055,507.697,513.5885,519.48,525.3706667,531.2613333,537.152,543.0426667,548.9333333,554.824
LUV-it,Employment,All Sectors w Military,Snohomish County,NA,NA,Thousands,314.8,320.825,326.85,333.9376,341.0252,348.1128,355.2004,362.288,369.3746,376.4612,383.5478,390.6344,397.721,404.8068,411.8926,418.9784,426.0642,433.15,440.2376,447.3252,454.4128,461.5004,468.588,475.6755,482.763,489.8505,496.938,504.0248333,511.1116667,518.1985,525.2853333,532.3721667,539.459
