control_to_LUVit_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Main Measure,Detailed Measure,Region,Age,Race,Gender,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
control_to_LUVit_pop,Population,Total Population,Region,All Ages (0-100),All Races,Total,Thousands,3327.439999,3356.430997,3372.778845,3400.926996,3438.070838,3502.134999,3548.571992,3601.953992,3663.596932,3701.268901,3759.846999,3816.175027,3869.087801,3934.247943,4006.086043,4089.172951,4162.549924,4215.351692,4259.363007,4303.289006,4292.865011,4311.920999,4455.098515,4508.290627,4561.464312,4614.67269,4667.881143,4721.088143,4774.294953,4827.501248,4880.501906,4933.504158,4986.499519,5039.501558,5092.502847,5145.324081,5198.144677,5250.964584,5303.78544,5356.606122,5409.672877,5462.739844,5515.806647,5568.873204,5621.640869,5674.408407,5727.17591,5779.943315,5832.710649,5885.47813,5907.648182,5940.370011,5981.657112,6029.80865,6083.543004,6141.719185,6202.993467,6266.271755,6330.885873,6396.194298
control_to_LUVit_pop,Population,Total Population,Region,All Ages (0-100),White-NonHispanic,Total,Thousands,2528.355,2523.746997,2510.365891,2506.013997,2505.877889,2521.889,2526.344994,2532.921989,2546.245951,2548.404868,2567.947935,2584.527447,2598.358009,2616.196295,2635.961311,2659.808843,2671.942152,2670.619684,2663.248796,2655.843006,2614.209007,2577.904995,2636.24764,2620.111519,2610.64738,2608.376396,2611.917855,2614.977249,2617.527297,2619.590436,2621.104692,2622.238446,2622.930422,2623.260298,2623.21896,2622.694794,2621.801494,2620.591141,2619.078765,2617.286379,2615.346752,2613.146684,2610.653475,2607.87025,2604.676553,2601.235601,2597.552928,2593.622955,2589.4794,2585.143605,2563.437529,2546.739647,2533.887419,2523.977911,2516.356413,2510.49354,2505.794907,2501.79527,2498.243313,2494.895907
control_to_LUVit_pop,Population,Total Population,Region,All Ages (0-100),Black-NonHispanic,Total,Thousands,163.4159996,166.6970011,168.1579921,170.1199992,172.8459909,177.8840013,181.0120003,186.2220009,191.5589963,193.9623577,199.6934453,205.8217293,210.5149968,215.1407224,221.2932129,228.2559064,236.0536971,243.4943129,250.3533697,257.165001,260.1110001,265.8930005,275.611437,278.768611,282.2863689,286.002026,289.9487478,293.9291563,297.9694865,302.0724385,306.2121486,310.3572581,314.6307421,318.946091,323.3145124,327.7290833,332.2024326,336.7359717,341.3262422,345.9683147,350.6815163,355.4479312,360.2771228,365.1646673,370.0882684,375.0648484,380.0933482,385.1698004,390.287367,395.443135,399.3419773,403.8742321,408.9588413,414.5219257,420.502326,426.8456324,433.4809605,440.3458556,447.3961324,454.5944462
control_to_LUVit_pop,Population,Total Population,Region,All Ages (0-100),Other-NonHispanic,Total,Thousands,446.6899996,464.5629998,480.9979718,498.3190002,517.7659698,542.2419968,565.0289976,587.8800009,611.6629916,632.0654586,655.0842609,678.5327348,702.4103046,732.8948416,766.193848,801.953148,839.7798375,873.9407995,904.5068184,934.6049995,955.1110015,991.0170036,1041.830351,1092.73989,1136.946164,1174.023365,1205.05336,1236.332847,1267.851145,1299.559441,1331.343787,1363.266223,1395.249884,1427.381483,1459.641973,1491.996468,1524.480132,1557.071454,1589.766437,1622.565035,1655.530416,1688.584007,1721.730361,1754.977079,1788.209749,1821.507113,1854.875915,1888.309239,1921.797313,1955.319261,1981.92974,2011.735401,2044.268916,2079.055869,2115.718619,2153.867425,2193.033583,2232.833865,2273.020192,2313.345509
control_to_LUVit_pop,Population,Total Population,Region,All Ages (0-100),Hispanic,Total,Thousands,188.9790003,201.4239989,213.25699,226.4739991,241.5809886,260.1200009,276.1859998,294.9300008,314.1289929,326.8362169,337.1213583,347.2931167,357.8044908,370.0160842,382.6376717,399.1550538,414.7742375,427.296895,441.2540232,455.6759991,463.4340029,477.1060003,501.4090865,516.6706067,531.5843991,546.2709019,560.9611808,575.8488898,590.9470241,606.278932,621.8412784,637.6422311,653.6884705,669.9136864,686.3274023,702.9037351,719.6606175,736.5660171,753.6139956,770.786393,788.1141921,805.5612221,823.1456885,840.8612072,858.6662985,876.6008442,894.6537181,912.8413204,931.146569,949.572129,962.9389349,978.0207316,994.5419361,1012.252945,1030.965646,1050.512587,1070.684016,1091.296764,1112.226235,1133.358436
control_to_LUVit_pop,Population,Total Population,Region,Ages 0-4,All Races,Total,Thousands,215.5719992,215.5199989,214.9699902,217.206999,218.4999914,223.2329996,227.8959991,232.6579986,237.0229957,238.8877063,241.820182,243.2196658,244.1852798,246.2086367,248.3380219,253.3711648,256.6214099,255.8029172,253.7403232,246.3779992,238.8410013,235.7129999,243.6786334,250.077392,255.2316953,261.3881672,265.2099913,265.6166532,265.0050297,264.4399877,264.032713,263.9325709,263.8369703,263.935241,264.300058,264.9266105,265.8477754,267.1739141,268.9121643,271.0701873,273.6143046,276.4296375,279.4459577,282.6592712,285.9786364,289.3831816,292.894768,296.4614,300.0524512,303.691853,303.3022581,303.8879426,305.2752747,307.2810594,309.7674021,313.200794,316.7771302,320.4114647,324.050623,327.6030181
control_to_LUVit_pop,Population,Total Population,Region,Ages 0-4,White-NonHispanic,Total,Thousands,140.707999,137.5959996,134.1129943,132.4259999,130.1539954,129.9309996,129.5129986,129.0459985,129.1839978,129.1027271,129.5054133,129.5520002,129.2198262,129.315118,129.0141816,130.5238114,129.5443279,127.1877621,123.9817843,119.0429994,112.1900017,107.6620003,108.0646119,106.5884895,105.1099686,105.7560446,104.9729667,103.3413693,101.4173719,99.55145917,97.79532182,96.23279964,94.76466115,93.5007814,92.4676851,91.64236554,91.03437024,90.70118693,90.62748827,90.79776336,91.17060338,91.66350578,92.19474519,92.74926706,93.27421941,93.74193517,94.15272605,94.50238315,94.78339047,95.00783192,93.05269043,91.60775127,90.55140961,89.78949196,89.25017505,89.13911687,89.00721488,88.85414422,88.69057495,88.50444527
control_to_LUVit_pop,Population,Total Population,Region,Ages 0-4,Black-NonHispanic,Total,Thousands,13.04900008,13.18499992,13.23899946,13.39800011,13.5199994,13.95300026,14.51499997,14.93400004,15.17599965,14.8238337,14.98719372,14.94156343,14.98010274,15.10923688,15.59651371,15.8046383,16.2702439,16.59076069,16.58234291,16.15299986,15.93000013,16.02800008,16.77139277,17.35146455,17.96738842,18.46854113,18.91533552,18.95455953,18.95378696,18.96435302,18.98890799,19.03126514,19.08119224,19.14010339,19.21334927,19.30046955,19.40579821,19.5434259,19.71483512,19.92405495,20.16971567,20.4440863,20.74432077,21.06892437,21.41042665,21.76691277,22.13739393,22.51006099,22.88182787,23.25121665,23.40615634,23.60972492,23.86090093,24.1565524,24.49253533,24.91694732,25.36925259,25.8403474,26.3216089,26.80780235
control_to_LUVit_pop,Population,Total Population,Region,Ages 0-4,Other-NonHispanic,Total,Thousands,38.69999994,40.02999967,41.07799733,42.39199951,43.84399743,45.85499993,48.15100032,50.50399926,53.0919991,55.12474026,56.41294396,57.51512441,58.54446279,59.96289644,61.78828366,64.08654454,66.57740077,67.59445046,68.70458834,67.88800018,67.50399967,68.04899997,71.56820311,75.74234653,78.85523956,81.99437205,84.58931251,85.86137522,86.61858913,87.29490212,87.94320773,88.6324578,89.22326814,89.78937239,90.36427691,90.97010446,91.62358127,92.36393838,93.21290603,94.18568566,95.26802205,96.43065105,97.67124824,98.9942694,100.3734159,101.8261801,103.3752047,104.9975656,106.6800429,108.4288508,109.1693856,110.2012744,111.4844715,112.9618659,114.5923518,116.4681902,118.3961951,120.3402133,122.269966,124.1411706
control_to_LUVit_pop,Population,Total Population,Region,Ages 0-4,Hispanic,Total,Thousands,23.1150002,24.70899974,26.53999907,28.99099948,30.98199914,33.4939998,35.71700016,38.17400078,39.57099918,39.83640532,40.91463098,41.21097784,41.44088817,41.82138547,41.93904299,42.95617054,44.22943734,44.42994393,44.47160767,43.29399981,43.21699981,43.97399953,47.27442557,50.39509134,53.29909872,55.16920947,56.73237656,57.45934917,58.01528172,58.62927335,59.3052755,60.03604835,60.76784881,61.50498386,62.25474671,63.01367092,63.78402568,64.56536286,65.3569349,66.16268331,67.00596355,67.8913944,68.83564349,69.84681034,70.92057443,72.04815359,73.22944328,74.45139022,75.70718994,77.00395364,77.67402575,78.46919194,79.3784926,80.3731491,81.43233996,82.67653964,84.00446766,85.3767598,86.76847312,88.14959988
control_to_LUVit_pop,Population,Total Population,Region,Ages 5-19,All Races,Total,Thousands,683.867,683.0590023,681.3049762,681.9160004,682.35597,687.2000013,689.8039997,693.3759969,699.2539852,699.1677656,697.6963085,699.34966,703.3646099,708.2535077,714.7326453,723.1387188,730.1339358,735.048544,739.0525106,756.604,743.079003,739.4129996,765.0304598,774.3290125,779.4384608,779.7623777,779.2612323,782.5064506,788.5006431,795.3044564,802.6477239,810.057792,817.1636742,823.9889061,829.8780949,834.9339103,840.8844078,848.0059996,855.7378352,862.4615053,870.9547413,877.9071247,881.35731,884.2613195,887.7292174,891.9393392,896.9298975,902.5674727,908.9510101,916.0959949,916.9649899,920.8242161,926.8760822,934.6372814,943.6910828,953.1505671,963.4388193,974.2340084,985.3124827,996.5128921
control_to_LUVit_pop,Population,Total Population,Region,Ages 5-19,White-NonHispanic,Total,Thousands,479.298,472.3880011,464.4689859,458.0169993,450.4569838,445.2240014,438.2050002,430.9999971,424.7269899,415.8163449,409.0764282,403.9517282,400.2402339,396.5127483,393.7141424,391.8456842,389.5206392,386.1537087,382.5052633,386.7380008,373.6840017,364.631,373.9214025,371.2858982,367.698758,361.7073395,356.9733058,353.1696056,350.2158269,347.5528999,345.1355902,342.4792555,339.5784012,336.2237954,332.7972659,328.7109387,325.7832188,322.5995008,319.8214366,316.9389802,316.3397774,314.4639776,311.9472933,309.5330621,307.5770412,306.1308029,305.1925408,304.6978303,304.6592432,305.050338,301.871649,300.1014252,299.2833408,299.1182149,299.3675702,299.6052266,300.0919618,300.6407965,301.1400359,301.5114506
control_to_LUVit_pop,Population,Total Population,Region,Ages 5-19,Black-NonHispanic,Total,Thousands,41.48800008,41.68100078,41.53299896,41.57099976,41.48399797,41.92500027,42.05800008,42.41499968,42.93399954,42.85772183,43.39565445,43.89628801,44.24608711,44.5982111,45.25991031,46.18192586,46.92619598,47.68226799,48.5740783,50.11200005,49.78000043,50.4240006,52.53204643,53.11552368,53.18929489,53.2345664,53.08534034,53.34385226,53.79421734,54.3091276,54.8021755,55.35330292,55.95978344,56.5458349,57.18062626,57.80487786,58.3554983,59.12413453,60.02664963,60.95843107,61.80642277,62.63422147,63.03902458,63.44092514,63.89495027,64.40900846,64.98686284,65.62450781,66.32635977,67.09415775,67.60137173,68.30561984,69.17390776,70.17249194,71.27390239,72.41146858,73.62119959,74.88409581,76.18998661,77.52680209
control_to_LUVit_pop,Population,Total Population,Region,Ages 5-19,Other-NonHispanic,Total,Thousands,112.4200002,115.1950006,118.4359933,121.8690009,125.542991,130.0429994,134.7489987,139.6399999,144.7399976,148.7410171,150.6494744,153.5832424,157.5049623,162.3027702,167.1316127,172.2637709,177.3968909,182.2510892,186.1469217,193.1949992,192.7430007,195.9629991,205.0448126,213.4614541,219.8409497,223.9005906,226.4409919,230.5675188,235.9673624,241.6806684,247.5873176,253.3710509,258.939703,264.6617222,269.7719346,274.7934383,279.4829234,284.9086814,290.0120048,294.2690224,299.0214166,303.7445263,306.93567,309.6605545,312.3893112,315.20654,318.1510554,321.1910686,324.3915859,327.7843224,329.7062865,332.5279897,336.0524291,340.1893817,344.835961,349.7604099,355.0270678,360.536116,366.208815,371.9855209
control_to_LUVit_pop,Population,Total Population,Region,Ages 5-19,Hispanic,Total,Thousands,50.66099977,53.79499982,56.86699806,60.45900042,64.87199724,70.00800021,74.79200085,80.32100023,86.85299817,91.75268175,94.57475139,97.91840148,101.3733266,104.8397781,108.6269799,112.8473378,116.2902097,118.9614781,121.8262474,126.5590001,126.8720002,128.3949999,133.5321983,136.4661365,138.7094582,140.9198812,142.7615943,145.425474,148.5232365,151.7617604,155.1226405,158.8541827,162.6857866,166.5575536,170.1282682,173.6246553,177.2627673,181.3736829,185.8777442,190.2950716,193.7871246,197.0643993,199.4353221,201.6267778,203.8679147,206.1929878,208.5994385,211.054066,213.5738213,216.1671767,217.7856827,219.8891814,222.3664046,225.1571928,228.2136492,231.373462,234.6985901,238.1730001,241.7736452,245.4891186
