Source,Main Measure,Detailed Measure,Region,Age,Race,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,
REMI v3.1,Population,Total Population,Region,All Ages (0-100),All Races,Thousands,3327.44,3356.431,3372.779,3400.927,3438.071,3502.135,3548.572,3601.954,3663.597,3701.269,3759.847,3816.175,3869.088,3934.248,4006.086,4089.173,4162.55,4215.352,4259.363,4300.39,4285.867,4332.146,4392.062,4459.421,4518.409,4573.831,4623.892,4670.347,4716.128,4762.559,4806.549,4854.845,4902.425,4949.22,4993.978,5035.178,5074.005,5111.335,5148.329,5185.647,5223.848,5263.042,5303.378,5345.187,5388.626,5434.013,5481.181,5530.269,5581.447,5634.411,5689.084,5745.512,5803.191,5861.77,5921.242,5981.235,6040.798,6099.515,6157.112,6213.37,
REMI v3.1,Population,Total Population,Region,All Ages (0-100),White-NonHispanic,Thousands,2528.355,2523.747,2510.366,2506.014,2505.878,2521.889,2526.345,2532.922,2546.246,2548.405,2567.948,2584.527,2598.358,2616.196,2635.961,2659.809,2671.942,2670.62,2663.249,2652.115,2610.103,2617.116,2628.493,2645.386,2658.198,2668.44,2675.135,2679.316,2682.722,2686.081,2687.654,2691.126,2693.826,2695.69,2696.075,2694.219,2690.793,2686.293,2681.371,2676.395,2671.661,2667.225,2663.162,2659.637,2656.745,2654.627,2653.217,2652.562,2652.742,2653.614,2655.117,2657.283,2659.846,2662.643,2665.675,2668.78,2671.557,2673.851,2675.573,2676.639,
REMI v3.1,Population,Total Population,Region,All Ages (0-100),Black-NonHispanic,Thousands,163.416,166.697,168.158,170.12,172.846,177.884,181.012,186.222,191.559,193.962,199.693,205.822,210.515,215.141,221.293,228.256,236.054,243.494,250.353,257.522,259.687,262.789,266.511,270.631,274.335,277.887,281.115,284.149,287.15,290.214,293.145,296.334,299.559,302.771,305.897,308.844,311.677,314.447,317.226,320.052,322.954,325.939,329.017,332.207,335.514,338.958,342.523,346.216,350.041,353.98,358.029,362.209,366.483,370.832,375.254,379.733,384.216,388.677,393.1,397.474,
REMI v3.1,Population,Total Population,Region,All Ages (0-100),Other-NonHispanic,Thousands,446.69,464.563,480.998,498.319,517.766,542.242,565.029,587.88,611.663,632.065,655.084,678.533,702.41,732.895,766.194,801.953,839.78,873.941,904.507,934.922,953.976,978.516,1009.811,1042.007,1071.154,1099.63,1126.979,1153.624,1180.283,1207.302,1233.895,1261.971,1289.966,1317.965,1345.601,1372.421,1398.757,1424.855,1451.02,1477.443,1504.292,1531.607,1559.441,1587.902,1617.016,1646.9,1677.486,1708.838,1741.011,1773.9,1807.499,1841.784,1876.634,1911.93,1947.666,1983.698,2019.671,2055.424,2090.841,2125.841,
REMI v3.1,Population,Total Population,Region,All Ages (0-100),Hispanic,Thousands,188.979,201.424,213.257,226.474,241.581,260.12,276.186,294.93,314.129,326.836,337.121,347.293,357.804,370.016,382.638,399.155,414.774,427.297,441.254,455.831,462.101,473.724,487.247,501.397,514.722,527.876,540.663,553.257,565.972,578.962,591.855,605.415,619.074,632.794,646.405,659.694,672.777,685.74,698.712,711.757,724.941,738.271,751.757,765.441,779.351,793.528,807.954,822.652,837.653,852.917,868.44,884.236,900.228,916.364,932.647,949.023,965.354,981.562,997.598,1013.416,
REMI v3.1,Population,Total Population,Region,Ages 0-4,All Races,Thousands,215.572,215.52,214.97,217.207,218.5,223.233,227.896,232.658,237.023,238.888,241.82,243.22,244.185,246.209,248.338,253.371,256.621,255.803,253.74,249.148,240.078,240.761,243.61,248.563,252.293,256.562,256.424,255.605,254.617,253.871,253.065,252.953,253.076,253.483,254.101,254.852,255.792,257.02,258.523,260.271,262.192,264.187,266.215,268.275,270.331,272.427,274.544,276.703,278.922,281.212,283.577,286.053,288.6,291.21,293.893,296.625,299.298,301.859,304.25,306.433,
REMI v3.1,Population,Total Population,Region,Ages 0-4,White-NonHispanic,Thousands,140.708,137.596,134.113,132.426,130.154,129.931,129.513,129.046,129.184,129.103,129.505,129.552,129.22,129.315,129.014,130.524,129.544,127.188,123.982,120.548,114.208,114.14,114.974,116.66,117.304,117.695,115.847,113.675,111.453,109.426,107.424,105.85,104.456,103.262,102.233,101.331,100.592,100.069,99.759,99.644,99.677,99.794,99.955,100.147,100.338,100.534,100.73,100.926,101.126,101.323,101.519,101.723,101.914,102.085,102.241,102.373,102.438,102.423,102.313,102.103,
REMI v3.1,Population,Total Population,Region,Ages 0-4,Black-NonHispanic,Thousands,13.049,13.185,13.239,13.398,13.52,13.953,14.515,14.934,15.176,14.824,14.987,14.942,14.98,15.109,15.597,15.805,16.27,16.591,16.582,16.305,15.717,15.62,15.508,15.581,15.754,16.139,16.156,16.134,16.107,16.093,16.071,16.083,16.105,16.135,16.172,16.212,16.261,16.331,16.425,16.544,16.683,16.835,16.998,17.167,17.335,17.507,17.676,17.841,18,18.156,18.309,18.461,18.617,18.778,18.946,19.122,19.303,19.486,19.669,19.849,
REMI v3.1,Population,Total Population,Region,Ages 0-4,Other-NonHispanic,Thousands,38.7,40.03,41.078,42.392,43.844,45.855,48.151,50.504,53.092,55.125,56.413,57.515,58.544,59.963,61.788,64.087,66.577,67.594,68.705,68.618,67.665,68.665,70.802,73.63,75.679,77.81,78.68,79.275,79.754,80.234,80.67,81.303,82.001,82.802,83.69,84.638,85.65,86.756,87.935,89.173,90.445,91.727,93.018,94.327,95.641,96.988,98.351,99.739,101.159,102.625,104.128,105.681,107.275,108.908,110.586,112.302,114.016,115.695,117.309,118.839,
REMI v3.1,Population,Total Population,Region,Ages 0-4,Hispanic,Thousands,23.115,24.709,26.54,28.991,30.982,33.494,35.717,38.174,39.571,39.836,40.915,41.211,41.441,41.821,41.939,42.956,44.229,44.43,44.472,43.677,42.488,42.337,42.327,42.692,43.557,44.918,45.742,46.521,47.304,48.117,48.899,49.717,50.515,51.283,52.006,52.672,53.288,53.864,54.404,54.911,55.387,55.831,56.243,56.635,57.017,57.399,57.786,58.196,58.636,59.107,59.621,60.188,60.795,61.44,62.12,62.828,63.541,64.255,64.958,65.643,
